OBJECTID,Walkscore,POI,households,District,Population,2024MediumHouseholdIncome,2024PerCapitaIncome,POINT_X,POINT_Y
97,3.5,4,306,10,758,89851,42752,2201257.934,1359995.958
98,2.8,4,357,10,790,74195,45521,2206004.279,1359995.958
99,10,18,770,10,1816,56788,35706,2210750.624,1359995.958
100,32.4,63,1627,4,3496,61441,43395,2215496.969,1359995.958
101,49.2,105,1612,4,2698,28305,32702,2220243.314,1359995.958
102,44.2,70,2442,4,4957,27338,19117,2224989.659,1359995.958
103,44.1,45,1730,4,3700,45166,41973,2229736.004,1359995.958
104,29,31,1368,5,3246,135549,91943,2234482.349,1359995.958
105,37.5,57,2719,5,5008,133917,92343,2239228.694,1359995.958
106,24.2,49,1398,5,3330,115104,74177,2243975.039,1359995.958
107,7.1,9,699,5,1562,66121,51255,2248721.384,1359995.958
108,14.6,18,1083,5,2764,49857,30131,2253467.729,1359995.958
109,9.7,11,1154,5,2630,92590,53126,2258214.074,1359995.958
110,2.6,5,256,10,694,26829,18515,2184645.726,1364106.413
111,10.6,25,416,10,1293,69665,30852,2189392.071,1364106.413
112,14.5,27,1298,10,3383,39304,20411,2194138.416,1364106.413
113,22.6,45,940,10,2669,22018,14813,2198884.761,1364106.413
114,22.9,41,1545,3,3264,33598,26827,2203631.106,1364106.413
115,16.8,36,610,3,1531,28825,19886,2208377.451,1364106.413
116,26.3,57,840,4,1981,49061,32003,2213123.796,1364106.413
117,27.7,39,1752,3,3717,47990,32697,2217870.141,1364106.413
118,56.6,76,1304,4,6608,45414,16040,2222616.486,1364106.413
119,69.9,124,1639,4,5187,63643,37554,2227362.831,1364106.413
120,64.3,127,3955,2,6286,36309,37122,2232109.176,1364106.413
121,42.8,64,4030,2,6503,131245,109651,2236855.521,1364106.413
122,35.6,37,2618,5,5196,129054,92775,2241601.866,1364106.413
123,23.1,38,1252,5,2558,83256,67974,2246348.211,1364106.413
124,30.9,57,1497,5,3496,123606,77641,2251094.556,1364106.413
125,16.9,27,917,5,2649,167873,79765,2255840.902,1364106.413
126,3.1,4,32,10,130,21632,17282,2187018.899,1368216.869
127,19.2,41,801,10,1964,69791,34375,2191765.243,1368216.869
128,18.3,21,848,10,2178,39416,21210,2196511.589,1368216.869
129,11.1,27,550,9,1389,53359,28367,2201257.934,1368216.869
130,16.4,36,540,3,1416,44918,21291,2206004.279,1368216.869
131,17,33,708,9,1915,37231,19217,2210750.624,1368216.869
132,20.2,37,1228,9,3134,28490,24643,2215496.969,1368216.869
133,36.4,58,1625,3,3996,38676,24624,2220243.314,1368216.869
134,50,74,1172,2,2397,50326,38835,2224989.659,1368216.869
135,96,197,3256,2,9917,81857,39969,2229736.004,1368216.869
136,66.5,89,4770,2,8321,104791,75701,2234482.349,1368216.869
137,42.9,73,3352,2,5652,133504,113660,2239228.694,1368216.869
138,32.1,40,2755,2,5746,135442,90567,2243975.039,1368216.869
139,18.8,3,1873,2,4513,159769,85668,2248721.384,1368216.869
140,6.4,2,354,10,740,80592,30174,2189392.071,1372327.324
141,15.1,42,803,9,2183,30428,18041,2194138.416,1372327.324
142,7,7,598,9,1533,39586,26431,2198884.761,1372327.324
143,18.1,38,927,9,2437,29666,25360,2203631.106,1372327.324
144,13.7,25,769,9,2029,38911,21877,2208377.451,1372327.324
145,20.9,49,608,9,1514,39080,23725,2213123.796,1372327.324
146,15.1,19,443,9,3613,46999,12581,2217870.141,1372327.324
147,49.3,84,1706,3,4236,48087,25453,2222616.486,1372327.324
148,53.4,59,1017,2,6761,51642,19447,2227362.831,1372327.324
149,66.6,92,7419,2,11529,85052,80336,2232109.176,1372327.324
150,45.3,91,4484,2,7160,106117,89673,2236855.521,1372327.324
151,40.6,74,2812,2,5015,102868,91681,2241601.866,1372327.324
