OBJECTID,OBJECTID_1,WalkScore_FinalWeighted,landuseMix,Intersections,POI,Sidewalks,householdtotals_TOTHH_CY,District,HistoricalPopulation_TOTPOP_CY,householdincome_MEDHINC_CY,householdincome_PCI_CY,householdincome_GINI_CY,educationalattainment_BACHDEG_CY,sports_MP33006a_B,sports_MP33030a_B,urbanicity_UPOP01,urbanicity_UPOP04,urbanicity_UPOP08,crime_CRMCYTOTC,transportation_X6001_X,Policy_MEDVAL_CY,ORIG_FID,POINT_X,POINT_Y
44,44,23.5,22,340,27,60,453,12,1046,38870,26648,52.1,98,54,190,0,1046,0,235,3254116,153846,44,2224989.659,1343554.136
45,45,8.2,2,46,23,8,478,1,1259,43749,20735,47.6,140,59,208,0,1259,0,193,3142966,105385,45,2229736.004,1343554.136
46,46,12.1,20,50,24,71,556,1,1556,57091,27413,41,263,88,293,0,1470,0,216,4449349,209000,46,2234482.349,1343554.136
47,47,16,22,70,38,76,630,1,1859,34260,17669,42.8,152,97,297,0,703,0,212,3358979,128629,47,2239228.694,1343554.136
48,48,3.5,2,16,0,13,662,11,1593,105143,60432,32.6,342,177,552,749,839,0,106,8445181,290746,48,2179899.381,1347664.592
49,49,7.4,7,46,14,41,262,11,756,44209,29601,53.7,120,42,176,0,702,0,140,2233157,195283,49,2184645.726,1347664.592
50,50,2.1,7,16,0,8,324,11,905,61571,31118,38.2,133,57,192,0,904,0,182,2390680,274242,50,2189392.071,1347664.592
51,51,7.7,6,69,14,16,435,11,1084,66207,42914,44.2,150,74,265,127,957,0,223,4322421,314423,51,2194138.416,1347664.592
52,52,20.3,10,16,20,242,1033,11,2547,67986,50789,42.9,219,178,570,0,2547,0,188,13727803,351099,52,2198884.761,1347664.592
53,53,9.9,12,30,18,66,573,11,1307,32526,24663,49.2,131,67,254,0,1307,0,188,3433543,261000,53,2203631.106,1347664.592
54,54,31.2,16,36,43,236,2779,11,5679,25788,20636,52.3,362,335,883,5191,488,0,208,12676876,308879,54,2208377.451,1347664.592
55,55,12.6,9,6,9,113,1438,12,2993,39273,23050,47.9,227,161,597,0,2982,0,379,7474168,275532,55,2213123.796,1347664.592
56,56,23.1,20,54,38,213,820,12,1923,58063,28700,40.4,232,170,505,0,1073,0,234,5583070,350397,56,2217870.141,1347664.592
57,57,15.2,23,104,15,117,662,12,1551,44294,36214,50.4,169,82,333,0,1551,0,257,5591489,278571,57,2222616.486,1347664.592
58,58,19.7,20,55,39,139,890,1,2097,40451,27404,51.1,183,141,377,0,719,0,233,6350674,221780,58,2227362.831,1347664.592
59,59,19.5,21,151,35,96,538,1,1434,54084,33524,48,192,85,272,0,882,0,242,4826231,281250,59,2232109.176,1347664.592
60,60,13.4,16,43,17,120,680,1,2642,19021,16061,56.7,80,88,243,0,2361,0,213,3049028,211364,60,2236855.521,1347664.592
61,61,10.3,9,32,14,115,147,1,350,39216,17111,45.8,28,20,79,0,339,0,196,833805,141304,61,2241601.866,1347664.592
62,62,1.4,6,9,0,4,283,11,663,77893,43969,39.7,176,67,213,32,379,0,135,2826587,423039,62,2182272.553,1351775.047
63,63,5.8,5,23,1,57,548,11,1549,38680,25589,47.1,193,86,296,0,1453,0,196,3895266,455000,63,2187018.899,1351775.047
64,64,9.5,8,14,2,124,659,11,1401,52711,40050,42,144,81,310,853,547,0,219,6415687,263352,64,2191765.243,1351775.047
65,65,4,7,25,6,13,380,10,903,71713,46008,43.1,137,71,237,83,820,0,222,4177770,350862,65,2196511.589,1351775.047
66,66,6.6,2,30,21,7,327,10,891,61568,28303,39.6,43,53,181,0,891,0,174,2684377,417460,66,2201257.934,1351775.047
67,67,9,6,58,16,43,448,10,1097,75157,41714,40,174,63,266,0,1097,0,167,4443387,348013,67,2206004.279,1351775.047
68,68,14.2,8,73,36,31,842,4,2145,43297,30291,51.6,286,113,463,0,2145,0,169,6823201,319886,68,2210750.624,1351775.047
69,69,19.3,18,52,32,163,826,4,2022,34755,25311,45.2,248,114,446,0,404,0,192,5385790,317273,69,2215496.969,1351775.047
70,70,22.5,29,104,36,131,1386,4,2914,64167,36765,41.1,697,247,762,0,1576,0,221,10670703,300243,70,2220243.314,1351775.047
71,71,18.8,25,109,22,142,885,12,2115,66984,46984,46.4,362,181,528,0,920,0,205,10061187,320333,71,2224989.659,1351775.047
72,72,33.7,49,151,51,237,1676,1,3900,36435,25426,47.8,285,204,650,1309,556,0,254,10172126,287987,72,2229736.004,1351775.047
73,73,21.5,30,76,29,199,808,1,3489,68395,38014,47,338,141,440,0,2619,0,183,8491391,449510,73,2234482.349,1351775.047
74,74,12.5,18,44,23,72,790,1,1777,86060,50184,44.8,331,139,422,0,0,0,190,8909394,444853,74,2239228.694,1351775.047
75,75,6.2,1,0,0,43,1176,1,2450,104487,59696,37.7,473,262,743,0,2450,0,163,14582029,364000,75,2243975.039,1351775.047
76,76,7.5,2,4,3,65,1024,5,2180,78029,52005,41.9,468,197,578,0,2154,0,202,11836079,418148,76,2248721.384,1351775.047
77,77,3.6,1,18,0,24,497,11,1190,131775,74614,38.2,258,140,413,0,1105,0,126,7775289,454167,77,2179899.381,1355885.502
78,78,4.4,3,48,0,22,427,11,1036,73182,39752,37.7,287,102,321,0,586,0,144,3878544,420245,78,2184645.726,1355885.502
79,79,3.2,5,8,0,49,138,10,286,52423,32030,43.6,68,21,69,0,166,0,181,1070106,430556,79,2189392.071,1355885.502
80,80,8.7,14,24,3,122,289,10,700,79698,54207,33.2,193,84,233,0,500,0,241,3502781,322635,80,2194138.416,1355885.502
81,81,9.7,2,47,25,28,490,10,1224,101509,51142,32.8,177,93,339,0,1207,0,147,6066970,306048,81,2198884.761,1355885.502
82,82,5.8,8,32,10,24,437,10,1020,88039,46316,35.1,188,84,292,0,1020,0,150,4709330,354009,82,2203631.106,1355885.502
83,83,10.2,6,40,32,28,339,11,734,48334,38556,45.8,154,41,174,0,734,0,165,3086938,246875,83,2208377.451,1355885.502
84,84,12.8,6,85,20,44,973,4,2316,40617,25096,50.5,268,125,470,0,2316,0,202,6341810,261290,84,2213123.796,1355885.502
85,85,20.8,25,114,35,133,808,4,1991,41651,28763,48.7,232,117,402,0,1565,0,251,6107644,374180,85,2217870.141,1355885.502
86,86,27.4,45,195,25,209,1197,4,2631,64862,38180,41.7,402,206,648,0,1540,0,290,10223416,352143,86,2222616.486,1355885.502
87,87,32.9,52,182,58,192,1365,1,3170,30131,25144,54.9,411,177,658,628,0,0,257,8002958,261957,87,2227362.831,1355885.502
88,88,25.8,44,130,33,129,2240,1,5097,91886,59026,42.3,1215,449,1267,3560,444,0,205,30411626,551635,88,2232109.176,1355885.502
89,89,21.2,31,143,21,115,1615,1,3538,141798,77586,32.2,985,361,1003,173,0,0,155,26623320,496602,89,2236855.521,1355885.502
90,90,16.3,17,66,31,80,1079,5,2450,132682,78420,32.8,615,263,726,0,1027,0,150,18064406,443137,90,2241601.866,1355885.502
91,91,14.4,11,64,30,54,990,5,2216,102665,57364,40.5,764,224,636,0,1078,0,166,13245631,404362,91,2246348.211,1355885.502
92,92,12.2,5,6,3,127,1445,5,3366,51899,33199,48.4,403,280,788,0,3278,0,169,11426783,381094,92,2251094.556,1355885.502
93,93,1.2,3,0,0,8,244,10,587,58301,34115,43.3,166,39,132,0,200,0,202,2121183,405000,93,2182272.553,1359995.958
94,94,9.9,7,12,14,99,516,10,1166,56119,30781,41.7,332,74,254,0,345,0,208,3989171,423077,94,2187018.899,1359995.958
95,95,14.5,12,18,17,132,1132,10,2618,50951,26618,34.5,414,158,597,0,2576,0,189,7605808,208242,95,2191765.243,1359995.958
96,96,10.8,2,51,22,34,843,10,1877,77745,41930,27.9,342,117,456,0,1815,0,177,7987738,190240,96,2196511.589,1359995.958
97,97,3.5,5,26,4,15,306,10,758,89851,42752,35.2,106,69,222,0,758,0,161,3088358,355152,97,2201257.934,1359995.958
98,98,2.8,4,10,4,10,357,10,790,74195,45521,40,181,58,210,0,790,0,160,3867352,277500,98,2206004.279,1359995.958
99,99,10,2,70,18,23,770,10,1816,56788,35706,42.6,257,129,462,0,783,0,180,6606285,358612,99,2210750.624,1359995.958
100,100,32.4,32,190,63,141,1627,4,3496,61441,43395,42.9,592,303,918,0,456,0,231,15357117,418561,100,2215496.969,1359995.958
101,101,49.2,48,269,105,251,1612,4,2698,28305,32702,54.3,337,181,560,1595,213,0,319,9250693,338272,101,2220243.314,1359995.958
102,102,44.2,53,270,70,227,2442,4,4957,27338,19117,47.9,402,261,860,1550,32,0,284,10433724,246959,102,2224989.659,1359995.958
103,103,44.1,34,371,45,285,1730,4,3700,45166,41973,52.3,705,314,913,2855,0,0,212,15287298,541254,103,2229736.004,1359995.958
104,104,29,23,187,31,213,1368,5,3246,135549,91943,31.6,1137,414,962,2406,0,0,187,23061821,597384,104,2234482.349,1359995.958
105,105,37.5,43,190,57,189,2719,5,5008,133917,92343,31.9,1536,649,1493,2613,0,0,213,44740979,560500,105,2239228.694,1359995.958
106,106,24.2,11,137,49,89,1398,5,3330,115104,74177,38.4,993,407,1047,0,967,0,194,20062802,538462,106,2243975.039,1359995.958
107,107,7.1,10,21,9,43,699,5,1562,66121,51255,44.6,496,172,483,0,1562,0,197,7788653,387500,107,2248721.384,1359995.958
108,108,14.6,13,13,18,137,1083,5,2764,49857,30131,50.6,266,227,697,1087,1674,0,190,7993117,401977,108,2253467.729,1359995.958
109,109,9.7,13,34,11,46,1154,5,2630,92590,53126,36.2,529,268,760,0,2575,0,195,13514396,387952,109,2258214.074,1359995.958
110,110,2.6,3,8,5,11,256,10,694,26829,18515,46.4,90,37,141,0,557,0,305,1103800,96429,110,2184645.726,1364106.413
111,111,10.6,4,56,25,43,416,10,1293,69665,30852,38,214,69,292,0,1293,0,176,3868051,172650,111,2189392.071,1364106.413
112,112,14.5,8,58,27,52,1298,10,3383,39304,20411,48.5,199,174,542,0,3381,0,199,7524260,229365,112,2194138.416,1364106.413
113,113,22.6,19,102,45,132,940,10,2669,22018,14813,54.3,112,130,394,1365,1304,0,206,4048884,286111,113,2198884.761,1364106.413
114,114,22.9,19,81,41,129,1545,3,3264,33598,26827,49,394,190,657,1533,1728,0,194,9453799,250439,114,2203631.106,1364106.413
115,115,16.8,11,126,36,55,610,3,1531,28825,19886,52,116,82,233,0,1526,0,216,3278658,161719,115,2208377.451,1364106.413
116,116,26.3,9,148,57,129,840,4,1981,49061,32003,51.2,412,118,438,0,894,0,189,6671976,332184,116,2213123.796,1364106.413
117,117,27.7,19,164,39,149,1752,3,3717,47990,32697,46.7,439,236,848,908,1098,0,216,13617733,344412,117,2217870.141,1364106.413
118,118,56.6,41,251,76,538,1304,4,6608,45414,16040,49.1,450,766,1777,1718,2626,0,275,9451126,478571,118,2222616.486,1364106.413
119,119,69.9,19,517,124,386,1639,4,5187,63643,37554,40.5,936,725,1469,1286,0,0,343,13676922,348773,119,2227362.831,1364106.413
120,120,64.3,53,306,127,277,3955,2,6286,36309,37122,55.1,913,657,1492,6286,0,0,360,27399710,563550,120,2232109.176,1364106.413
121,121,42.8,90,155,64,206,4030,2,6503,131245,109651,29.9,2318,921,1952,5863,0,0,214,69594420,580788,121,2236855.521,1364106.413
122,122,35.6,59,264,37,174,2618,5,5196,129054,92775,32.8,1770,674,1599,2531,0,0,229,43230571,568287,122,2241601.866,1364106.413
123,123,23.1,34,92,38,154,1252,5,2558,83256,67974,44.8,753,252,697,1232,98,0,155,16431310,443651,123,2246348.211,1364106.413
124,124,30.9,25,101,57,212,1497,5,3496,123606,77641,37,747,372,1015,238,2767,0,177,25026523,558716,124,2251094.556,1364106.413
125,125,16.9,10,100,27,91,917,5,2649,167873,79765,27.9,658,275,745,0,2649,0,133,17419179,591988,125,2255840.902,1364106.413
126,126,3.1,3,10,4,37,32,10,130,21632,17282,41.9,11,7,26,0,121,0,326,112742,90625,126,2187018.899,1368216.869
127,127,19.2,9,122,41,74,801,10,1964,69791,34375,39.9,218,103,424,0,1930,0,208,7248197,167500,127,2191765.243,1368216.869
128,128,18.3,14,223,21,48,848,10,2178,39416,21210,48.1,95,102,360,255,1775,0,229,5203597,137868,128,2196511.589,1368216.869
129,129,11.1,10,81,27,18,550,9,1389,53359,28367,35.7,197,78,328,0,1389,0,151,3857501,205278,129,2201257.934,1368216.869
130,130,16.4,12,69,36,98,540,3,1416,44918,21291,40,86,72,281,0,1416,0,203,3169538,190323,130,2206004.279,1368216.869
131,131,17,19,101,33,84,708,9,1915,37231,19217,44.1,132,101,397,0,1915,0,185,3688836,176506,131,2210750.624,1368216.869
132,132,20.2,24,114,37,86,1228,9,3134,28490,24643,54.7,522,160,652,0,900,0,189,7915011,215698,132,2215496.969,1368216.869
133,133,36.4,68,162,58,259,1625,3,3996,38676,24624,49.5,450,228,793,1891,0,0,276,10245079,341391,133,2220243.314,1368216.869
134,134,50,65,257,74,420,1172,2,2397,50326,38835,49.5,412,197,539,1209,230,0,269,10322793,380000,134,2224989.659,1368216.869
135,135,96,12,634,197,422,3256,2,9917,81857,39969,37.8,1806,1355,2730,9917,0,0,388,33270750,370833,135,2229736.004,1368216.869
136,136,66.5,79,466,89,279,4770,2,8321,104791,75701,36.9,2345,1167,2320,8321,0,0,214,62895443,536624,136,2234482.349,1368216.869
137,137,42.9,65,203,73,181,3352,2,5652,133504,113660,28.5,1988,803,1697,4366,0,0,219,59721211,790527,137,2239228.694,1368216.869
138,138,32.1,49,111,40,207,2755,2,5746,135442,90567,35.1,1489,655,1670,1749,503,0,162,47718583,587215,138,2243975.039,1368216.869
139,139,18.8,37,127,3,132,1873,2,4513,159769,85668,28.9,1054,531,1343,0,260,0,115,34162554,663194,139,2248721.384,1368216.869
140,140,6.4,7,12,2,86,354,10,740,80592,30174,18.7,13,35,133,0,707,0,269,2719881,175000,140,2189392.071,1372327.324
141,141,15.1,3,57,42,41,803,9,2183,30428,18041,51.3,164,101,347,0,1465,0,178,4346908,207353,141,2194138.416,1372327.324
142,142,7,5,70,7,17,598,9,1533,39586,26431,48.1,261,82,348,0,1533,0,196,3846935,222561,142,2198884.761,1372327.324
