OBJECTID,OBJECTID_1,WalkScore_FinalWeighted,landuseMix,Intersections,POI,Sidewalks,householdtotals_TOTHH_CY,District,HistoricalPopulation_TOTPOP_CY,householdincome_MEDHINC_CY,householdincome_PCI_CY,householdincome_GINI_CY,educationalattainment_BACHDEG_CY,sports_MP33006a_B,sports_MP33030a_B,urbanicity_UPOP01,urbanicity_UPOP04,urbanicity_UPOP08,crime_CRMCYTOTC,transportation_X6001_X,Policy_MEDVAL_CY,ORIG_FID,POINT_X,POINT_Y
193,193,8,15,62,15,17,528,9,1248,154078,72572,28.3,514,102,312,0,1248,0,195,8787019,500000,193,2203631.106,1388769.146
194,194,12.5,31,55,18,79,832,9,1997,169346,77755,30.6,665,146,466,510,36,0,197,16038763,552041,194,2208377.451,1388769.146
195,195,22.3,29,46,26,155,2217,9,4241,104775,73035,33.7,1417,381,1140,3353,805,0,148,33591478,388621,195,2213123.796,1388769.146
196,196,20.4,23,37,19,178,1813,8,3764,103438,76714,32.8,1287,377,1036,2264,1500,0,80,28223474,484615,196,2217870.141,1388769.146
197,197,9.8,4,85,12,40,627,8,1935,200001,99338,11.4,469,184,477,0,1935,0,58,16758218,916515,197,2222616.486,1388769.146
198,198,30.4,28,82,45,123,3563,8,5743,116177,97593,33.1,2066,747,1683,3483,430,0,158,57134500,722310,198,2227362.831,1388769.146
199,199,16.3,22,68,12,91,1926,7,3787,128139,98762,34.3,1384,511,1122,1550,281,0,122,33228603,775168,199,2232109.176,1388769.146
200,200,35.2,20,273,24,148,3488,6,6066,89838,68754,38.2,1872,860,1680,5683,0,0,219,39738163,516779,200,2236855.521,1388769.146
201,201,23.6,27,24,39,130,2504,6,4267,90542,67951,39.2,1339,492,1198,1907,1017,0,186,30945639,567803,201,2241601.866,1388769.146
202,202,1,2,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,202,2206004.279,1392879.601
203,203,2.7,10,25,0,18,261,8,850,200001,100757,18.5,251,95,246,0,850,0,100,6117599,701149,203,2210750.624,1392879.601
204,204,4.4,4,60,0,14,397,8,1253,200001,120000,11.3,315,152,371,0,1253,0,51,11605736,1229730,204,2215496.969,1392879.601
205,205,7,3,42,10,40,420,8,1374,200001,106714,14,382,158,379,0,1374,0,66,11874804,1133562,205,2220243.314,1392879.601
206,206,7.1,2,69,4,40,462,8,1333,200001,122894,21.8,456,174,410,0,827,0,59,11502411,1312937,206,2224989.659,1392879.601
207,207,22.2,35,84,26,75,2915,8,5261,121126,107041,37.6,1395,673,1642,3426,287,0,90,53571678,773289,207,2229736.004,1392879.601
208,208,25.2,27,62,43,136,2202,7,3820,87168,76223,41.4,1111,515,1135,2805,575,0,230,27431885,840132,208,2234482.349,1392879.601
209,209,27.6,41,160,32,108,2768,7,4914,92477,70723,33.9,1808,646,1452,3067,28,0,139,32166488,438670,209,2239228.694,1392879.601
210,210,1.2,2,12,0,3,190,8,527,200001,117616,18.3,138,67,160,0,526,0,88,4869632,1019231,210,2208377.451,1396990.056
211,211,3.2,6,21,0,35,187,8,581,200001,119174,9.9,132,71,171,0,581,0,51,5585765,1355263,211,2213123.796,1396990.056
212,212,18.8,25,84,15,140,1595,8,2834,86253,79267,43.9,1010,386,808,1816,1018,0,135,22031884,834615,212,2217870.141,1396990.056
213,213,6.7,5,57,7,29,492,8,1467,200001,117810,15,555,183,437,0,1467,0,95,14047826,1186728,213,2222616.486,1396990.056
214,214,4.2,7,44,1,18,411,8,1220,200001,117708,24.9,442,162,384,274,946,0,103,10163627,1294492,214,2227362.831,1396990.056
215,215,60.1,44,108,117,211,6576,8,9792,102354,101647,40.8,3897,1403,3024,9792,0,0,223,94890687,457514,215,2232109.176,1396990.056
216,216,24.4,26,41,64,109,1455,7,2947,117427,85265,36.4,800,374,855,2475,0,0,315,23955544,795567,216,2236855.521,1396990.056
217,217,10.9,6,34,0,90,1458,7,3298,126826,97034,32.5,1099,441,1034,0,2815,0,123,26558144,666104,217,2241601.866,1396990.056
218,218,1.3,3,0,0,2,385,8,995,200001,125848,17.1,291,136,325,0,995,0,75,10526482,1176991,218,2206004.279,1401100.512
219,219,1.4,5,26,0,1,111,8,356,200001,113293,16.2,76,44,110,0,356,0,56,2955038,1380435,219,2210750.624,1401100.512
220,220,12.2,20,56,23,75,535,8,967,171060,109538,31,283,121,323,0,966,0,50,10448765,907895,220,2215496.969,1401100.512
221,221,4.1,4,46,1,24,257,8,795,200001,121362,14.8,321,101,243,0,794,0,99,7393694,1212963,221,2220243.314,1401100.512
222,222,2.1,7,18,0,15,201,8,527,200001,131306,8.8,196,67,160,0,527,0,89,6313624,2000001,222,2224989.659,1401100.512
223,223,16.9,40,83,14,139,1105,8,2114,121718,101880,36,788,278,659,1530,584,0,188,19135837,936321,223,2229736.004,1401100.512
224,224,49.1,22,110,89,175,5444,7,8189,108303,98685,33.2,3027,1166,2370,8165,0,0,258,78746219,557556,224,2234482.349,1401100.512
225,225,38.5,40,80,45,188,4976,7,8173,115862,102189,33.8,3379,1112,2571,7190,798,0,167,80467808,706813,225,2239228.694,1401100.512
226,226,5.7,6,28,0,63,411,8,898,200001,136212,22.9,389,129,312,0,898,0,75,9784128,864583,226,2208377.451,1405210.967
227,227,9.7,11,109,7,49,449,8,977,133937,103745,33.2,324,121,331,0,977,0,66,7652914,831250,227,2213123.796,1405210.967
228,228,1.9,3,30,0,6,142,8,334,200001,122318,12.2,100,42,101,0,333,0,68,4144344,1840000,228,2217870.141,1405210.967
229,229,3.1,6,34,1,15,247,8,763,200001,126897,12.2,235,96,229,0,760,0,67,7181964,1775641,229,2222616.486,1405210.967
230,230,2.1,7,26,0,6,252,8,729,200001,144019,13.4,266,94,222,0,729,0,104,7145203,1404412,230,2227362.831,1405210.967
231,231,18.3,35,51,27,97,1794,8,3316,159829,109668,28.2,1117,451,1010,0,1324,0,105,35162576,1008838,231,2232109.176,1405210.967
232,232,8.1,9,119,0,28,552,7,1681,200001,124262,12.7,781,192,493,0,1084,0,84,15477020,981145,232,2236855.521,1405210.967
233,233,9.3,4,16,2,64,1468,7,2718,135203,105010,29.1,816,361,847,0,2717,0,111,26296963,819307,233,2241601.866,1405210.967
234,234,12.4,5,12,1,133,1460,8,2334,100826,75365,31.5,959,322,694,0,2333,0,241,18469815,959746,234,2210750.624,1409321.422
235,235,1.7,3,28,0,2,158,8,549,196317,96726,26.6,178,69,173,0,548,0,81,3379309,1486111,235,2215496.969,1409321.422
236,236,3.8,4,39,1,22,286,8,886,200001,88323,24.3,240,113,270,0,886,0,78,6720193,1694444,236,2220243.314,1409321.422
237,237,6.1,7,55,1,48,386,8,1046,200001,122030,16.1,306,126,301,0,1046,0,51,10275699,1161058,237,2224989.659,1409321.422
238,238,16.7,30,67,37,93,660,8,1410,118336,89309,31.8,468,170,460,0,44,0,81,10512445,891379,238,2229736.004,1409321.422
239,239,7,21,74,2,28,661,7,1784,200001,102701,20.5,721,194,509,263,789,0,56,15380584,827935,239,2234482.349,1409321.422
240,240,5.1,2,52,1,23,501,7,1479,200001,111024,12.2,523,173,427,0,1475,0,53,13951471,1456395,240,2239228.694,1409321.422
241,241,1.5,2,2,0,9,297,8,821,200001,118491,16.8,292,107,255,0,818,0,33,7981537,1476852,241,2222616.486,1413431.878
242,242,2.7,1,4,0,19,481,8,1429,200001,111576,15.4,393,174,417,0,1429,0,60,13203849,986796,242,2227362.831,1413431.878
